Category|Question|A1|A2|A3|A4
Politics|Where was the last summit meeting between Kim Jong Un and Donald Trump?|Singapore|United States|South Korea|Vietnam
Entertainment|How many colours did the Samsung Galaxy S20 Ultra 5G release with?|1|3|4|2
